내용,Translated 내용
"정의당이 망해서.....하소연 할 곳이 없겠지...그나마 민주당과 조국당인데.....조국당은 교섭 단체가 아니니깐...민주당인데....

선뜻 나서서 하긴 뭐 하겠지....이게 양당 정치의 문제점....","The Justice Party is ruined ..... There is no place to complain ... Democratic Party and the National Party.

What would you do to do it?"
????????,????????
외노자는 임시로 쓸 수 있어도 개도나 교화가 안 되어서 오래 못 써요. 다른 기사에서 테슬라 로봇 보니까 조만간 가사 도우미로 쓸 수 있을것 같더군요. 아마 간병도 도와주겠죠. 레인보우로보틱스도 기대해봅니다.,"Foreign units can be used temporarily, but they can't be used for a long time because they can't be open or edible.In other articles, Tesla Robot seems to be able to use it as a lyrics.Probably help me care.We look forward to Rainbow Botics."
"간병인 옛날 부터 외국인 거의  새삼스럽지도 않아,
  요양사 배출은 늘었났는데 봉급 처우개선은 그대로","Since the old days of the caregiver, it is hardly new to foreigners,
The discharge of nursing homes has increased, but the improvement of salary treatment is the same"
2042년이면 로봇이 간병해줘서 걱정 없을듯,"In 2042, the robot seems to have no worry because the robot took care of it."
"한국은 전쟁 안해도, 출생아가 우크라이나보다 적구나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Even if you don't war in Korea, your birth is less than Uk Lina ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ"
전쟁 중인 나라보다도 출산율 더 낮은 이 나라는 대체 뭐냐ㅋㅋㅋㅋㅋㅋㅋㅋ 어이가 없다.,What is this country that's lower fertility rate than a country in war?
본인들 주제파악은 못하고 눈만 높은 한국여자들  말고 한국남자 우크라 여자 단체 미팅해서 결혼하자~~,"Let's get married by meeting Korean men, Korean men, not only Korean girls who can't grasp the topic."
젤렌스키 실력도 없는데 러시아 자극해서 국민 죽이니 좋으냐,I don't have gel lenshi skills.
우크라이나로 가면  신부골라서 결혼하겠네 ...ㅋ 아니면   수입해오자 ㅋㅋㅋ,"If you go to Ukraine, you'll get married because it's a bride."
아주 괜한 걱정하네. 그래도 지금 우크라이나는 체르노빌이 관광지가 될정도로 잘나가고 간단하게 게임 다끝나고 26년후 2050년 영양실조 신세 된 야생동물들 막고 우크라이나 수도 고층건물 합성사진이 현실이 될정도로 유럽 수호자 동유럽 맹주로 번영한다고 미래에서 온 사람들이 알려줬고 26년후 우크라이나 번영 완성 역사에 적힌대로 결과 다나오고 있다. 지금 정세 다보면 우크라이나는 엄청 잘나가고 있는게 지금 우크라이나 수도 분위기 다보변 엄청 잘나가게 된다고 나와서 2050년 유럽 수호자 번영 미래가 가까워지고 있다. 걱정하지마.,"I'm very worried.Nevertheless, Ukraine is a tourist destination, and the game is simply over, 26 years later, the wild animals that are malnutable in 2050, and the Ukrainian capital skyscrapers will flourish as European guardian Eastern European.It was informed and the result is all about 26 years later in the history of complete Ukrainian prosperity.Ukraine is doing a lot of Ukraine, and the future of Ukraine is getting very good at Ukraine.don't worry."
놀랍게도 우크라이나 출생율이 한국보다 높다,"Surprisingly, Ukraine's birth rate is higher than Korea"
이제 그만 전쟁 좀 끝내라! 벌써 3년째인데 언제까지 처할래? 이래서 리더가 중요하다니깐 70대 노인네 한명 때문에 러시아하고 우크라이나 젊은애들이 얼마나 죽어야 되는거냐?,"Now stop the war!It's been three years already, how long will you be in?So how long is Russia and Ukrainian young kids because of the old man in his 70s?"
그럼항복하라니깐 전쟁의실상은 지들 상류층전부해외도피하고 기득권뺏기기싫어서 중산층이하자국민  학살하는거지 더러운우크라이나 나라지킬능력은안되고 땅은 엄청크고 욕심은더럽게많고 우리나라를따라하고싶다했냐?  우리나라는 자본 자원 땅 아무것도업는 거지나라에서 전세계 가장작은 나라에서 오로지 한국인 인구 힘만으로 나라를 발전시켰다,"So, surrender, so the wartime award is to escape all the upper classes and take the vested interests.In our country, the capital resource land has developed the country only with the power of Korean population in the smallest country in the beggar in the beggar."
한국은 전쟁하는 우크라이나보다 훨씬 낮은 출산율인데 전쟁보다 심각한 상황?,"Korea is a much lower birth rate than the Uk Lina, which is more serious than the war?"
우크라이나에 남는 여성들은 한국에서 수입해서 장가 못간 노총각들 좀 장가 좀 보내세요,Women who remain in Ukraine are imported from Korea and have some chemical bachelors.
우린 출생률   보다 범죄자  천국이  될꺼 같아  걱정이다,We are worried that we will be a criminal heaven than the birth rate.
우크라 사례로 어딜 물타기하려고 하냐,Where are you going to ride the water as an example of Ukra?
글애도 한국보다 출산율이 더높아 전쟁 중 인데도,"Even though the fertility rate is higher than that of Korea,"
굥완용같은 권력에 눈먼 젤렌스키때문에 우크라이나 젊은이들 다 죽어가고 있다. 권력자 잘못 만나면 국민들만 죽어난다. 우리나라는 투표잘해서 꼭 굥완용 탄핵시키자,"The young people of Ukraine are dying because of the blind gelski in the power of Wan -yong.If you meet the wrong power, only the people die.Let's vote well in Korea and make it impeachment."
반대로 여자는 넘쳐난다는얘기자나.결혼못한 老총각들 이참에 아릿따운 북방계족으로 바꿔버러? 조건과환경 제일 우선시하는 토종찾다 몽달구신되기싫어니까... 어차피 단일민족 물건너간지 오래됐자나.처가도 어쩌면 뱅기타고 동유럽 댕겨오는것도 나름 좋지 않나.전쟁끝나면 이미늦다.마카다 서둘러라.,"On the contrary, a woman is overflowing.I don't want to be a mongdal -old, which is the most priority of conditions and the environment. It's been a long time since it's been a long time."
청년들이 다 죽기 전에 그냥 항복하는게 낫겠다...민족이 살아 남아야지,It would be better to just surrender before all the young people died ... the people should survive
우크라는 한국 안 와. 북유럽 가지. 우크라 난민 받아주더만.,Uka comes to Korea.Northern Europe.I accepted Ukra refugees.
다른나라 걱정할때가아니다,It's not time to worry about other countries
전쟁끝나면 우크라이나에 장가가도 되겠다,"After the war, I can marry in Ukraine."
전쟁초기 우크라이나 남자들 와국으로 다 도망감. 병역자원 부족이여.,"In the early days of the war, Ukrainian men run away.Lack of military service."
"언제는 연전연승한다며?ㅋ할 필요없는전쟁을 해서 고통받는 우크라이나.
그러게 왜 반데라같은 인간쓰레기를 숭배하며 미국을 위한 불쏘시개를 자처했나!","Ukraine is suffering from a war that doesn't have to be in a row.
Why did you worship human trash like Vandera and suggest a fire for the United States?"
우크라이나 병력 평균연령이 우리나라 민방위 소집해제 연령보다 높군요. 장비 뿐 아니라 병력자원의 현실로 봐선 전쟁이 오래 지속되기는 아무래도 어렵겠네요..,"The average age of Ukrainian troops is higher than the age of civil defense.In addition to the equipment, it will be difficult for the war to last long."
아직 1대 안깨졌음 든든하네,I haven't broke up yet
나라 뺏기면 아무소용 없음,No use if the country is taken away
내가 보기에는 우크라이나 전쟁 멏년더하고 또어디선갸 전쟁할거같아,I think it's going to be the Ukrainian war bitch more and again.
징집을 왜ㅜ하니. 전쟁을 끝내야지. 미국은 그냥 유크라이나 지속 꼬셔서 나라 갈아 먹는구나. 100만명 죽었고  1천만명 해외로 도피. 9백만명(친 로시아계) 러시아로 편입 및 망명. 나라의 인구 60% 사라짐. 이게 나라냐. 불쌍. 젤렌스키 하나때문에 망한 나라 ㅜ,Why are you conscribing?I have to finish the war.America is just twisting Yukrina and changing the country.One million people died and escaped 10 million overseas.9 million people (pro -Roses) are transferred to Russia and asylum.The population of the country disappears.Is this a country?poor.A country that ruined because of one Zel Renski ㅜ
러시아 우크라이나전쟁 언제 끝나냐ㅠ,When will the Ukrainian War end in Russia?
오늘도 열받게 할려고 고생이 많다.알바들아.솔직히 본인 얼굴에 침뱉기지 이런말 안쓸려고 했는데.돈몇푼번다고 그런 알바나 하냐,I have a lot of trouble to get pissed today.
문재앙 진짜 페미 밀어준 게 나라 말아먹으려고 한 거 아님?,Didn't you try to eat the nation that you really pushed the feminine?
우크라이나 입장에서는 후일을 도모하기 위한 ‘정전’플랜이 불가피하다!,"For Ukraine, there is inevitable 'power outage' plan to promote later!"
한국 전쟁나면 초초초초초초 고령화 50대이상 국민 70%,70% of people in their 50s over 50 years old
그놈의 남녀 평등 .. 참나,His gender equality ...
자존심 가지고 설치지 마라 중국은 아시아 최강 제2경제대국 강대국이고 동양의 근본이고 근대 이전 동양의 초강대국이었으며 역사 문화 뛰어나고 위대한 대단한 나라고 한국은 약소국이고 역사도 문화도 없고 별볼일 없고 중국 보다 별볼일 없고 중국 속국으로 중국에게 지배만 받고 예나 지금이나 중국이 니들보다 강대국이고 대단한 나라다 자존심 가지고 설치지 마라 이민족 개소리 떠들지 마라 중국이 니들보다 대단한 나라고 니들은 중국에게 속국으로 지배만 받았다 지들을 봐야 되는데 남은 왜 끄집어 내냐 니들은 중국에게 속국으러 지배만 받았다,"Don't install pride, China is the second strongest economy in Asia, the fundamental of the East, the super -powered country of the East, and the great history of history culture.Jena, and now, China is a great power than you and a great country, and don't install it with pride. Don't talk about it.I was only ruled for a tribute"
바보나라 우크라이나 러시아 힘빼기 성공시켜주고 버림당했네 전쟁은졌고 나토도 못들어간다,Fool Nara Ukraine Ukraine Russia succeeded and was abandoned.
열살부터 뽑아라.휴전만이 답이다.몇년 더하면 남자 씨가 없다.,Take it from the age of ten. Only the ceasefire is the answer.
우리나라는 전쟁도 안하는데...출산율이 더 낮네..큰일,Korea doesn't even war ... The birth rate is lower.
한국 남자들 받아줄라나 몰라 ㅋ,I don't know how to accept Korean men
우리 위대하신 젤렌스키 대통령님이 24년2월까지 31000명만 죽고 10만명이 다친 전쟁이라고하셨는데 인구3800만인 우크라이나에서 남자가 없다는게 말이되나요? 제대로 기사좀 쓰시길 ㅎ,"Our great President Jellenski said that only 31,000 people died and 100,000 people were injured by February 24.I hope you write the article properly"
여자들눈은 다 똑같을걸.. 그냥 살자,All women's eyes will be the same ... Let's just live
자기들 남자들 다죽으면 전쟁이 의미가 있나,Does the war make sense when they all die?
남자가 부족하면 일부다처제라도 해야지 별 수 있나.,"If there is a lack of a man, some multi -makers should be."
우리나라가 남의나라 인구율을  걱정할 상황은 아니지  저긴  전쟁이라는 특이사항으로  1  이 무너진거고 우린  더 잘먹고 잘살기 위해  0.6인거고 ㅋ,"It is not a situation where Korea is not worried about the population rate of other countries, but it is unusual for war, and 1 is collapsed and we are 0.6 to eat better and live well."
저기는 전쟁이라도 났으니까 그렇지 한국은 전쟁도 안났는데 뭥미?,"There's a war there, so it's not the war."
제발 하루빨리 전쟁이 끝나길 바랍니다🙏,I hope the war will be over as soon as possible 🙏
"북한은 침략자를 웅호했다. 6*25와 같은 불법 남침으로 형제가 서로 죽이는 비극이 또 생길까 봐 두렵다. 유엔은 악의 씨앗이 자라지 못하도록 대처를 해야하는데 원래 씨앗부터 잘못되었다. 흩어지면 죽고 모이면 산다는 지극히 단순한 원칙으로 유엔의 모토를 삼아야 하는데 악이 기세를 펴는 유엔이니 겉만 반지르, 어찌 세계 평화가 이룩할 수 있을까? 힘으로는 구원하지 못하며 오직 선과 지혜로써 만이 세계 평화를 이룩할 수 있다.","North Korea led to invaders.I am afraid that there will be another tragedy that the brothers kill each other due to illegal invasion, such as 6*25.The United Nations has to deal with the seeds of evil so that it is wrong from the original seeds.If you are scattered, you will have to use the UN motto as a very simple principle that you live and live together.It is not saved by power, and only by good and wisdom can achieve this world peace."
이미 다른나라로 다 도망감.. 정작 나라 지킬 수 있는 젊은이들이 런던에서 엄청 많이 봄.,It's already run away from other countries. There are so many young people who can protect the country.
우리가 가자!! 보내줘 우크라이나!!!,Let's go !!Send me Ukraine !!!
전쟁중인 나라 끌어다가 비교해서 정신승리할정도면 우리나라 매우 심각한건데..... 민주당딥스애들은 국뽕이라면서 정신승리 선동할듯..... 애초에 여자가 30살이면 노산인데 결혼들을 빨라도 여자나이 32 33에 하는데 애를 갖고싶어도 갖기 어렵지...... 딥스들 안몰아내면 대한민국 소멸이야 그 자리는 사탄들이 점령하는거고.... 정신차려라 나는 개돼지국민들 스스로가 정신차릴때까지 기다릴거다,"It is very serious in Korea if it is enough to draw a country in the war and compare it.It's hard to have a hard time in 33. If you don't have a dip, it's extinguished by the Republic of Korea."
"우리나라 출산율 하락의 근본원인은 정치적 혼란이다. 지나치게 잦은 정권 교체와 선거 불복이 이어지며 대한민국은 결코 안정된 미래를 꿈꾸기 어려운 상황이다. 북한의 핵 위협도 큰 원인이다. 일본, 중국의 깐죽거림도, 미국 정치의 혼란도 국제화된 대한민국에는 위협적이다. 국민 모두가 두려움 속에 살아간다.","The fundamental cause of falling birth rate in Korea is political confusion.Too much frequent regime change and election dissatisfaction continues, and Korea is a situation where it is difficult to dream of a stable future.North Korea's nuclear threat is also a big cause.The confusion between Japan and China and the chaos of US politics are threatening to Korea, which is internationalized.All people live in fear."
"현재 우크라에서 동원법 개정의 주된 목적은 교대이다. 동원된 약 백만 명 중 금년 내 30만 명 정도가 동원해제 예정이고 지역 민방위로 전환된다. 동원이 보강된 측면이 있다. 계엄령 기간 동안 동원 대상, 징집 대상, 예비군은 가능한 한 빨리 지역 모병센터에 통보해야 하며 , 다른 지역에서 새로운 거주지로 이동하는 경우 실제 거주지에 대한 데이터를 7일 내 신고 의무가 부과되었다. 두 형제 중 1명이 복무중이면 동원 대상에서 빠졌는데 취소되고 교체한다. 드론운영자, 포병, 다른 병과 등 선호 분야를(1~3 순위) 선택할 수 있다.","The main purpose of the revision of the mobilization law in Ukra is shift.Of the millions mobilized, about 300,000 people will be mobilized this year and will be converted to local civil defense.There is a side where mobilization is reinforced.During the martial law, the target of mobilization, conscription targets, and reserve troops must be notified to the local recruitment center as soon as possible, and if they move to a new residence in other regions, the data on the actual residence was imposed within seven days.If one of the two brothers is in service, he is canceled and replaced.You can choose the preferences such as drone operators, artillery, and other classes (1 ~ 3)."
이미 15세도 강제징집 당한거 뉴스 몇번 나옴,The news has already been forced to be forced to be 15 years old.
난교예찬 수출해,Export the egg school
우크라이나도  여자들   대대적으로  징집해라  걔네들은  우크라 사람아니냐,Ukraine is also a lot of women.
2년뒤면 여성도 군대의무화되겟네,"In 2 years, women will be mandatory for military troops."
이해가 안된다. 6.25  당시 우리 인구는 우크라이나의 절반에 전사자가 13만이었어도 징병활동이 돌아갔는데 그당시 우리 인구의 배나 되면서 전사자가 4만명도 안되는(키이우 주장) 우크라이나가 징병에 애를 먹는다고?  전사자 축소했냐?,"can not understand.At the time of 6.25, our population was half of Ukraine, even though there were 130,000 warriors, but the draft activity was returned.Did you reduce the dead?"
미국.영국앵글로 색슨족들을  비롯한   서방놈들   구식민지 종주국들이  노리는게 바로 이거네.  우크라이나 제렌스키 징징스키 그지스키 과대망상스키 타고난 선동꾼 광대스끼  패거리들을  부추겨 러시아를  상대로  전쟁하게 맹글어서  우크라이나 남자들  씨를  말리는작전.   앵글로 색슨족들 대신해서  남자들  총알받이로 개죽음 당하고 나면  우크라이나는  자동으로  소멸되거나 인구많은 아시아가 접수해야 함,"This is the US and British Anglo Saxons and other Westerners.Ukrainian Jerensky Jingking Ski Digski Operation, which is an operational operational that dries up the Ukrainian men by flew against Russia by encouraging the natalculator of the natalculator.After being killed by men's bullets instead of Anglo Saxons, Ukraine must be automatically destroyed or populated Asia must be accepted."
알까기식으로 하면 러가 이기겠네,"If you know it, it will win."
우크라이나 가면 한남도 대접 받을 수 있나요?;;;;;,Can we be treated in Ukraine? ;;;;;
노동 탄압을 위해 노동자를 위한다는 가면을 쓴 의원이나사적 이득을 위해 언론의 가면을 쓴 경제 찌라시나...,The economic mask of the parliamentary masks for the worker for the oppression of the labor is an economic chire who wrote the mask of the media for the gain.
"결론: 1. 출산율은 전적으로 여성의 혼인율에 달렸다. (시기, 건수) 왜냐면 우리나라는 비혼 출산을 터부시하기 때문이다. 2. 여성의 고학력 취득율은 74% 이며 65%에 불과한 남성을 월등히 앞질렀다. 3. 남성의 병역의무 등으로 사회진출, 전문직 등에서 점점 더 밀리고있다. (로펌 가봐라. 다 여자다.) 4. 여성은 굳이 결혼할 경제적 필요를 못느끼며 기왕 할거면 우리나라 편견대로 윗결혼만 물색하니 또래연령대에서 자신보다 앞선 남자 희소현상. 결국 극소수 조건 맞는 이들만 32살 넘어 결혼하고 이들만 아이 1명 정도 가짐.","Conclusion: 1. The birth rate depends entirely on the marriage rate of women.(Time, number) This is because our country has a rich marriage.2. Women's high -educated acquisition rate is 74% and a man with only 65% ​​outperforms.3. Men's military duty, etc., is becoming more and more prominent in society and professions.(Go to the law firm. It's a woman.) 4. If you don't feel the economic needs to marry, you will only get married in Korea's prejudice.In the end, only those who are very small and have been married to 32 years old and have about one child."
"별이야기도 아닙니다. 인구는 과학이니, 한국의 적정인구를 위하여 수렵하고 있는 중입니다.  따라서 이런데 돈쓰고 이러지 맙시다. 왜냐면 소용이 없으니.. 수렵인구가 될 때가지는 아무것도 막을 수  없습니다.","It's not a story.The population is science, so we are hunting for the right population of Korea.So let's not spend this money.Because it's useless."
"일본은 저출산대책을 위해 전국민에게 매달 우리돈으로 5,000원을 징수하겠다고 발표했다. 일본은 우리보다 출산율이 무려 50퍼센트는 높은 우리기준으로 보면 엄연히 출산율 선진국이라고 말할수 있다. 그럼에도 낮은 출산율은 국가적인 재앙이라며 전국민의 연대책임을 강조하고 있는것이다. 출산율이 전세계에서 유례를 볼수없는 압도적인 취하위로 국가존립 자체가 상식적으로 의문시되는 우리는 어떻게 해야하나. 상식적으로 일본이상의 전국민 연대책임정신이 분명히 필요하다고 본다. 모든 정책엔 공짜는 없다고 본다","Japan announced that it would collect 5,000 won for our money every month for low birth rates.In Japan, the fertility rate is 50 percent higher than ours, and it can be said that the birth rate is developed.Nevertheless, the low birth rate is a national disaster and emphasizes the solidarity of all citizens.What should we do when we have a common sense of state existence because of the overwhelming stuff that maternity rates are unprecedented around the world?Common sense, I think that the spirit of responsibility for all national solidarity is obvious.I think there is no free for all policies"
기자이름이 1/5 윤석열이네,The reporter's name is 1/5 Yoon Seok -yeol
애초에 베이비붐 세대부터 그 베이비붐 세대의 자식인 90년대생까지 노동인구가 너무 넘쳐났던게 이 나라 불행이라고 본다. 그러니 결국 개개인 사람의 가치가 성공하지 못하면 낮은 사람으로 인식되고 돌덩이 취급하니 출산율 저하로 인한 기본적인 노동 인력도 못구하는 세상이 와야 그때서야 어떤 직업이건 일이건 사람을 소중하게 여기는 문화가 되고 그런 나라가 되면 자연히 그때는 출산율 반등할거다. 문제는 현대인 평균 수명은 늘어나는데 고령화만 지속되면 연금제도나 건강보험 제도를 유지할 수 없으니 그게 문제라서 그렇지,"In the first place, it was the unhappy of the labor population from the baby boom generation to the 90's, the child of the baby boom generation.Therefore, if the value of each person is not successful, it is recognized as a low person and treated as a stone, so it is a culture that values ​​people, and it becomes such a country.At that time, the birth rate will rebound.The problem is that the average life expectancy is increased, but if the aging continues, the pension system or the health insurance system cannot be maintained."
한국이 연구대상 한국처럼 경제가 발전하면 출산률이 줄어든다는걸 세계여러나라가 배우길,It is said that many countries around the world learn that Korea's development is reduced when the economy develops like Korea.
경제활동 욕구?  이건 틀린 말이다 욕구가 아니라 집값이 비싸고 물가가 비싸서 먹고 살기 위해 내몰리는 것이다 특히 한국의 저출산 솔루션은 집값의 정상화에 있다 이걸 알면서 모두 외면하고 엉뚱한 짓만 하고 떠든다,"Economic activity needs?This is not wrong. It is not a desire, but the price of the house is expensive and the prices are expensive."
한일 비교가 너무 웃긴데?0.5나 차이나는데?  ㅋㅋ 그냥 한국만 이라해야지,The comparison between Korea and Japan is so funny? 0.5 is the difference?ㅋㅋ Just say that only Korea
법제화 해야 출생아 상승 가능해진다.육아휴직+재택근무 법제화 아니면 공염불 이다.,Legislation can be enhanced by the birth of birth.
"인생은 졸라게 불공평한거다 누구는 3루에서 태어나는데 누구는 베이스는 커녕 타석에 들어선채로 태어나는게 인생이다 왜 가난을 되물림하려하냐 1,2루에서 태어난 이들도 이제 아는거지 미래보단 현재가 중요하단것을 몇몇 잘난놈들만 애낳아서 살든지 말든지해라 제발 평범한 시민들한테 애낳으라는 개소리 그만하고","Life is strangely unfair. Somebody is born at third base. Someone is born with a base, but is born with a seat. Why do you want to ask for poverty?Just live or say if you live, please stop talking to ordinary citizens."
집값도문제지만 가해자를위한 법좀 뜯어고쳐라근본적인걸 고칠생각은 죽어도없네...,"The price of the house is also a problem, but there is no idea to fix the law for the perpetrator and fix it."
"0.72명(한국), 1.20명(일본)///// 이 수치는 한국과 일본이 받아들인 2023년 합계출산율 성적표다. OECD평균이 1.58명인걸 고려하면 한국과 일본 어느 쪽이 낫다고 견줄 수 없지만 최근 상황만 놓고 보면 한국의 저출산 문제가 더욱 심각하다고 할 수 있다. =====> 이게 무슨 말같지도 않은 헛소리 정신승리임? oecd 평균출산율이 1.58이라 0.72나 1.20이나 어차피 거기서 거기라면서 정신승리하고 자빠져 있는 거임ㅋㅋㅋ? 일본은 그래도 1명은 넘게 낳는데ㅋㅋ? 이걸 어느쪽이 낫다고 견줄수 없다고ㅋㅋ?","0.72 (Korea), 1.20 people (Japan) ///// this figure is a total of 2023, which was accepted by Korea and Japan.Considering that the OECD average is 1.58, it cannot be comparable to either Korea and Japan, but in recent years, Korea's low birthrate problem is even more serious.=====> What is this a bullshit victory?The average fertility rate of OECD is 1.58, so 0.72 or 1.20, but there's a mental victory and sleeping.Japan still produces more than one person ㅋㅋ?You can't comparable to which one is better?"
일본은 아직도 1.2명대라서 여유가 있으나 헬조센은 0.7명대 여유가 없지만 정부는 저출산 알빠노 하고 싶어하지만 언론과 미련한 국민들이 강하게 밀어부쳐서 대책 마련 하자고 하지만...솔직히 향후 5년내 인공지능 PRA가 고도화되면 일단 사무직 일자리 최소한 50% 박살난다 왜 50%냐고 80% 할수 있지만 그렇게 하면 내수기업들은 죽으라는 거니까...수출대기업도 머리 쓴거임 인공지능세 도입 안하게 하려고...그리고 단순 생산직 일자리 최소한 50% 박살남...어차피 일자리 경쟁은 지금과 다를바 없을텐데 저출산이 신의 축복임,"Japan is still 1.2, but Heljosen cannot afford 0.7 people, but the government wants to be low -birth alphano, but the media and the foolish people are strongly pushed to prepare for measures.At least 50% of office jobs are smashed, why can I say 50%? 80%, but domestic companies are dying ... Export companies are also wearing their heads.Ms ... the job competition will be no different from now, but the low birth rate is a blessing of God."
이딴 나라는 멸종해도 됨.,This country may be extinct.
"정부는 저출산 주요지원방향을 국가돌봄이아니라, ""부모가 정시퇴근해서, 육아시간 의무사용으로, 아가를 직접 돌볼수 있는 환경을 만든다""로 가야 합니다. 직장에서 아가 엄마아빠들이 정시퇴근해서 아가보러간다 하면 칼퇴한다고 무책임한 사람, 이기적인 사람이 되는데, 커리어에 악재인데, 젊은부부들이 굳이 아가를 많이 가지려 할까요? 이런 문제가 적어도 아이 중학교갈때까지 계속됩니다. 두명 낳으려다 한명낳고, 한명 낳자고 계획세우다가 노산으로 못낳는 부부가 늘어가고 있습니다","The government should go to the main support direction of low birthrate, not the national care, but ""the parents leave on -time and create an environment where they can take care of the baby by using the mandatory parenting time.""If the mother and dads go home on time and go to see them, they become irresponsible and selfish people.This problem continues at least until I go to my middle school.There is a growing number of couples who are trying to give birth to two people and plans to have one person."
